date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:38	1565/1565	---M--	200	added ('OK')	text/plain	etag:%222037edf2-61d-5d6162175d701%22	https://www.bristol.ac.uk/robots.txt		(from )
16:02:39	74283/74283	---M--	200	added ('OK')	text/html	date:Wed,%2026%20Oct%202022%2010:32:39%20GMT	https://www.bristol.ac.uk/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/www.bristol.ac.uk/index.html	(from )
16:02:39	222/222	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2019%20Oct%202022%2013:32:57%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/cdn.polyfill.io/v2/polyfill.min.js	(from https://www.bristol.ac.uk/)
16:02:39	9433/9433	---M--	200	added ('OK')	image/png	etag:%222072930b-24d9-577e1d7d37bee%22	https://www.bristol.ac.uk/Depts/Info-Office/benj/homepage-2018/code/images/mobile-nav-edge.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/www.bristol.ac.uk/Depts/Info-Office/benj/homepage-2018/code/images/mobile-nav-edge.png	(from https://www.bristol.ac.uk/)
16:02:40	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Oct%202022%2010:33:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/www.googletagmanager.com/gtm.25445.delayed	(from https://www.bristol.ac.uk/)
16:02:40	3491/3491	---M--	200	added ('OK')	application/javascript	etag:%2220f19e03-da3-5eb36d33a5c00%22	https://www.bristol.ac.uk/homepage/webpack-runtime-94008ea2065b6f4e6c1e.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/www.bristol.ac.uk/homepage/webpack-runtime-94008ea2065b6f4e6c1e.js	(from https://www.bristol.ac.uk/)
16:02:40	76362/76362	---M--	200	added ('OK')	application/javascript	etag:%22203309c7-12a4a-5eb36d33a6ba0%22	https://www.bristol.ac.uk/homepage/app-ebeb2913adf5f616dc22.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/www.bristol.ac.uk/homepage/app-ebeb2913adf5f616dc22.js	(from https://www.bristol.ac.uk/)
16:02:41	117/117	---M--	200	added ('OK')	application/javascript	etag:%2220f19e00-75-5eb36d33a4c60%22	https://www.bristol.ac.uk/homepage/styles-e9d24b1846c7d6eb9685.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/www.bristol.ac.uk/homepage/styles-e9d24b1846c7d6eb9685.js	(from https://www.bristol.ac.uk/)
16:02:41	148603/148603	---M--	200	added ('OK')	application/javascript	etag:%2220f19df8-2447b-5eb36d33a4c60%22	https://www.bristol.ac.uk/homepage/framework-a3883bbb4cf12a9d9ed2.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/www.bristol.ac.uk/homepage/framework-a3883bbb4cf12a9d9ed2.js	(from https://www.bristol.ac.uk/)
16:02:42	13917/13917	---M--	200	added ('OK')	application/json	etag:%2220f19e07-365d-5eb36d33a6ba0%22	https://www.bristol.ac.uk/homepage/page-data/index/page-data.json	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day1/Web4/Site4/www.bristol.ac.uk/homepage/page-data/index/page-data.json	(from https://www.bristol.ac.uk/)
